Sports,Discipline,"""Anabolic Agents S1.""","""Peptide Hormones, Growth Factors and Related Substances S2.""","""Beta‐2 Agonists S3.""","""Hormone and Metabolic Modulators S4.""","""Diuretics and Other Masking Agents S5.""","""Stimulants S6.""","""Narcotics S7.""","""Cannabinoids S8.""","""Glucocortico‐ steroids S9.""","""Alcohol P1.""","""Beta‐ Blockers P2.""","""Enhancement of Oxygen Transfer M1.""","""Chemical and Physical Manipulation M2.""",Sub total
Aquatics,Swimming Sprint 100m or less,19,‐,6,1,1,7,‐,‐,2,‐,‐,‐,‐,36
,Swimming Middle Distance 200‐400m,5,‐,1,1,5,2,‐,‐,2,‐,‐,‐,‐,16
,Open Water,3,1,‐,‐,1,4,‐,‐,‐,‐,‐,‐,‐,9
,Water Polo,2,‐,‐,2,‐,1,‐,1,‐,‐,‐,‐,‐,6
,Diving,2,‐,‐,‐,‐,3,‐,‐,‐,‐,‐,‐,‐,5
,Swimming Long Distance 800m or greater,1,‐,1,1,‐,‐,1,‐,‐,‐,‐,‐,‐,4
,Aquatics,‐,‐,‐,‐,‐,1,‐,‐,‐,‐,‐,‐,‐,1
Archery,Archery,‐,‐,‐,‐,1,‐,‐,‐,‐,‐,2,‐,‐,3
,Recurve,‐,‐,‐,‐,1,‐,‐,‐,‐,‐,‐,‐,‐,1
,Compound,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,1,‐,‐,1
Athletics,Long Distance 3000m or greater,46,23,10,7,6,7,1,‐,14,‐,‐,‐,‐,114
,Sprint 400m or less,39,9,1,9,4,8,1,‐,3,‐,‐,‐,‐,74
,Throws,37,‐,2,4,2,7,‐,1,‐,‐,‐,‐,‐,53
,Marathon,11,5,1,‐,1,1,‐,‐,4,‐,‐,‐,‐,23
,Jumps,5,‐,‐,‐,2,4,‐,3,2,‐,‐,‐,‐,16
,Middle Distance 800‐1500m,4,5,‐,3,1,1,‐,‐,2,‐,‐,‐,‐,16
,Combined Events,‐,‐,1,4,4,1,‐,1,‐,‐,‐,‐,‐,11
,Race Walk,2,1,‐,‐,3,‐,‐,‐,1,‐,‐,‐,‐,7
,Cross Country,‐,‐,2,‐,‐,‐,‐,‐,3,‐,‐,‐,‐,5
,Athletics,2,‐,‐,‐,‐,‐,1,1,‐,‐,‐,‐,‐,4
,Road Running,1,‐,‐,‐,‐,‐,‐,1,2,‐,‐,‐,‐,4
,Ultra Running,‐,‐,‐,‐,1,1,‐,‐,‐,‐,‐,‐,‐,2
,Half Marathon,1,‐,‐,‐,‐,‐,‐,‐,1,‐,‐,‐,‐,2
,Mountain Running,‐,‐,1,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,1
,Track,1,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐,‐
